geometry,name,cuisine,opening_hours,wheelchair,takeaway,addr:street,category
POINT (-122.6779663 45.510544),,,,,,,bench
POINT (-122.6777501 45.5105485),,,,,,,waste_basket
POINT (-122.6779985 45.5105543),,,,,,,bench
POINT (-122.6779448 45.5105877),,,,,,,bench
POINT (-122.6779837 45.5105985),,,,,,,bench
POINT (-122.6786556 45.5106737),,,,,,,bench
POINT (-122.6786979 45.5106831),,,,,,,bench
POINT (-122.6784303 45.5107954),,,,,,,bench
POINT (-122.6784185 45.5108161),,,,,,,bench
POINT (-122.6776291 45.5109065),,,,,,,parking_entrance
POINT (-122.677472 45.5110109),United States Postal Service,,,,,,post_box
POINT (-122.677465 45.511024),United States Postal Service,,,,,,post_box
POINT (-122.6774266 45.5111951),,,,,,,bicycle_parking
POINT (-122.677387 45.5112129),,,,,,,bicycle_parking
POINT (-122.6780736 45.5114284),,,,,,,bench
POINT (-122.6781252 45.5114415),,,,,,,bench
POINT (-122.6538661 45.5052385),Art Fills the Void,,,,,,artwork
POINT (-122.6542915 45.5049838),Best Friend,smoothie,,,only,Southeast Division Street,cafe
POINT (-122.65288 45.5050613),Niche Massage,,,,,Southeast Division Street,beauty
POINT (-122.6532471 45.5047244),,,,,,,motorcycle_parking
POINT (-122.6539227 45.5047653),,,,,,,bicycle_parking
POINT (-122.653401 45.5047709),,,,,,,bicycle_parking
POINT (-122.6532156 45.5048047),,,,,,,bicycle_parking
POINT (-122.653402 45.5048066),,,,,,,bicycle_parking
POINT (-122.6543445 45.504918),,,,,,,bicycle_parking
POINT (-122.6544155 45.5049185),,,,,,,bicycle_parking
POINT (-122.6545201 45.5049189),,,,,,,bicycle_parking
POINT (-122.6545798 45.5049194),,,,,,,bicycle_parking
POINT (-122.6546804 45.5049683),,,,,,,bicycle_parking
POINT (-122.6545597 45.5053031),,,,,,,bicycle_parking
POINT (-122.6545061 45.5053628),,,,,,,bicycle_parking
POINT (-122.6924593 45.470431),Affinity Counseling & Hypnosis,,,,,Southwest Bertha Boulevard,doctors
POINT (-122.6924043 45.4704319),John A. Barnes,,,,,Southwest Bertha Boulevard,doctors
POINT (-122.6923493 45.4704328),Kayla Mary Leopold,,,,,Southwest Bertha Boulevard,doctors
POINT (-122.6931344 45.4705152),Whole Family Wellness Center,,,,,Southwest Bertha Boulevard,doctors
POINT (-122.6736537 45.517416),,,,,,,parking_entrance
POINT (-122.6738636 45.517497),,,,,,,parking_entrance
POINT (-122.6742412 45.5175943),,,,,,,parking_entrance
POINT (-122.6730754 45.5176561),,,,,,,vending_machine
POINT (-122.6083585 45.5409231),Cosmic Monkey Comics,,,,,,books
POINT (-122.6142068 45.5389511),,,,,,,compressed_air
POINT (-122.6088209 45.54038),Trek,,,,,Northeast Sandy Boulevard,bicycle
POINT (-122.609017 45.540292),Session Studio,,,,,,studio
POINT (-122.6091041 45.540255),Meowhaus,,,,,,animal_boarding
POINT (-122.612646 45.5393799),Medical Marijuana Card Services Clinic,,,,,,cannabis
POINT (-122.6127298 45.5393451),Maria's Hair Salon,,,,,,hairdresser
POINT (-122.6128132 45.5393366),Sun Signs,,,,,,sign
POINT (-122.6098995 45.5403336),The G.O.A.T. Bar,,,,,Northeast Sandy Boulevard,bar
POINT (-122.6082577 45.540974),Case Study Coffee Roasters,coffee_shop,Mo-Su 07:00-16:00,,,Northeast Sandy Boulevard,cafe
POINT (-122.7118967 45.4672891),,,,,,,bicycle_parking
POINT (-122.6677066 45.5442208),,,,,,,fountain
POINT (-122.6708881 45.5435484),Atrium Gift Shop,,,,,,gift
POINT (-122.6688536 45.543354),Courtyard Cafe,,,,,,cafe
POINT (-122.6708867 45.5436217),Heartbeat Cafe,,,,,,cafe
POINT (-122.6697019 45.5443782),Kite Cafe,,,,,,cafe
POINT (-122.6692966 45.5423024),,,,,,,parking_entrance
POINT (-122.6692972 45.5424779),,,,,,,parking_entrance
POINT (-122.6708944 45.5434248),,,,,,,pharmacy
POINT (-122.6685124 45.5438732),,,,,,,parking_entrance
POINT (-122.6692865 45.5450266),,,,,,,parking_entrance
POINT (-122.6957301 45.4629582),Saint Clare Preschool,,Mo-Fr 07:00-18:00,,,Southwest Spring Garden Street,kindergarten
POINT (-122.6726047 45.5205765),,,,,,,bicycle_parking
POINT (-122.6726664 45.5205939),,,,,,,bicycle_parking
POINT (-122.6720428 45.5208076),,,,,,,bicycle_parking
POINT (-122.6726973 45.5211981),,,,,,,waste_basket
POINT (-122.6726867 45.5223252),Ever True Tattoo,,,,,Southwest Ash Street,tattoo
POINT (-122.6726572 45.5223794),Unique Travel,,,,,Southwest Ash Street,travel_agency
POINT (-122.672665 45.5221036),,,,,,,bicycle_parking
POINT (-122.6728859 45.5221678),,,,,,,bicycle_parking
POINT (-122.6730157 45.5222055),,,,,,,bicycle_parking
POINT (-122.6723099 45.5223697),,,,,,,bicycle_parking
POINT (-122.6723421 45.5224571),,,,,,,bicycle_parking
POINT (-122.6727864 45.5225838),,,,,,,atm
POINT (-122.6732021 45.5226018),,,,,,,bicycle_parking
POINT (-122.6732011 45.5226166),,,,,,,waste_basket
POINT (-122.6724061 45.5226683),,,,,,,bicycle_parking
POINT (-122.6735729 45.522991),,,,,,,waste_basket
POINT (-122.6731757 45.5229308),,,,,,,atm
POINT (-122.67353 45.5229375),,,,,,,drinking_water
POINT (-122.6728313 45.5230141),,,,,,,bicycle_parking
POINT (-122.672731 45.5222439),220 Salon,,Tu-Fr 12:00-18:00; Sa 12:00-16:00,,,Southwest Ash Street,hairdresser
POINT (-122.7588999 45.5873298),,,,,,,theatre
POINT (-122.6766886 45.5219849),Geranium Lake,,"Mo-Fr 09:00-17:30, Sa 09:00-15:00",,,Southwest Oak Street,florist
POINT (-122.6760091 45.5215535),,,,,,,waste_basket
POINT (-122.6763667 45.5215912),,,,,,,bicycle_parking
POINT (-122.6761687 45.5215929),,,,,,,waste_basket
POINT (-122.6768884 45.521735),,,,,,,bicycle_parking
POINT (-122.6770236 45.5218585),,,,,,,waste_basket
POINT (-122.676816 45.5219577),,,,,,,bicycle_parking
POINT (-122.6769085 45.522093),,,,,,,telephone
POINT (-122.676392 45.5229063),,,,,,,waste_basket
POINT (-122.6755438 45.5229749),,,,,,,waste_basket
POINT (-122.5615943 45.5158441),CVS Pharmacy,,"Mo-Fr 09:00-13:30, 14:00-20:00; Sa, Su 10:00-13:30, 14:00-18:00",,,Southeast Washington Street,pharmacy
POINT (-122.562061 45.5159099),Starbucks,coffee_shop,Mo-Sa 08:00-21:00; Su 08:00-20:00,,yes,Southeast Washington Street,cafe
POINT (-122.5626323 45.5159005),,,,yes,,,toilets
POINT (-122.6933645 45.4680175),,,,,,,bicycle_parking
POINT (-122.6377811 45.5118501),Safeway,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 10:00-18:00,,,Southeast Hawthorne Boulevard,pharmacy
POINT (-122.6370972 45.5118614),Starbucks,coffee_shop,05:00-20:00,,yes,Southeast Hawthorne Boulevard,cafe
POINT (-122.6493908 45.4768793),Northwest Primary Care,,Mo-Fr 08:00-17:00,,,Southeast Milwaukie Avenue,clinic
POINT (-122.6589307 45.5133965),Alma,,,,,,chocolate
POINT (-122.66103 45.5155647),Grand Marketplace,,,,,Southeast Grand Avenue,antiques
POINT (-122.6307858 45.5163534),Nate's Oatmeal Cookies,,Th-Mo 11:00-21:00,,,Southeast Belmont Street,bakery
POINT (-122.6569207 45.5094872),Flood Clothing,,,,,Southeast Stephens Street,clothes
POINT (-122.6589106 45.5094816),Lula,,,,,Southeast 7th Avenue,doctors
POINT (-122.6578648 45.5064273),,,,,,,bicycle_parking
POINT (-122.6579332 45.5064771),,,,,,,bicycle_parking
POINT (-122.6598859 45.5078476),,,,,,,bicycle_parking
POINT (-122.6588633 45.5083171),,,,,,,bicycle_parking
POINT (-122.6588529 45.509475),,,,,,,bicycle_parking
POINT (-122.6558183 45.5103154),,,,,,,bicycle_parking
POINT (-122.6572995 45.5063836),,,,,,,bicycle_parking
POINT (-122.6565631 45.5064691),,,,,,,bicycle_parking
POINT (-122.6553306 45.5065734),,,,,,,bicycle_parking
POINT (-122.6548223 45.5066557),,,,,,,bicycle_parking
POINT (-122.6556766 45.506768),,,,,,,bicycle_parking
POINT (-122.6548304 45.5067995),,,,,,,bicycle_parking
POINT (-122.6556096 45.5072892),,,,,,,bicycle_parking
POINT (-122.657703 45.5073183),United States Postal Service,,,,,,post_box
POINT (-122.6556733 45.5073314),,,,,,,bicycle_parking
POINT (-122.6548865 45.5086072),,,,,,,bicycle_parking
POINT (-122.6548725 45.5087096),,,,,,,bicycle_parking
POINT (-122.6547994 45.5087486),,,,,,,bicycle_parking
POINT (-122.7132906 45.4670552),,,,,,,atm
POINT (-122.6560691 45.5123031),,,,,,,bicycle_parking
POINT (-122.6562978 45.5123054),,,,,,,bicycle_parking
POINT (-122.6564493 45.5143095),,,,,,,bicycle_parking
POINT (-122.6570884 45.5137114),,,,,,,bicycle_parking
POINT (-122.6569657 45.5137133),,,,,,,bicycle_parking
POINT (-122.656798 45.5137734),,,,,,,bicycle_parking
POINT (-122.656859 45.5138836),,,,,,,bicycle_parking
POINT (-122.6568034 45.5139059),,,,,,,bicycle_parking
POINT (-122.6558827 45.5144169),,,,,,,bicycle_parking
POINT (-122.6559873 45.5144169),,,,,,,bicycle_parking
POINT (-122.6565948 45.5144216),,,,,,,bicycle_parking
POINT (-122.6571495 45.5147287),,,,,,,artwork
POINT (-122.6564446 45.5150315),,,,,,,bicycle_parking
POINT (-122.6573539 45.5151417),,,,,,,bicycle_parking
POINT (-122.6565529 45.5158704),,,,,,,bicycle_parking
POINT (-122.6566018 45.515901),,,,,,,bicycle_parking
POINT (-122.6575917 45.5163204),,,,,,,bicycle_parking
POINT (-122.657341 45.5163233),,,,,,,bicycle_parking
POINT (-122.6571163 45.5164417),,,,,,,bicycle_parking
POINT (-122.6567681 45.51661),,,,,,,bicycle_parking
POINT (-122.6557764 45.5166767),,,,,,,bicycle_parking
POINT (-122.6576342 45.5167129),,,,,,,bicycle_parking
POINT (-122.6567826 45.5167241),,,,,,,bicycle_parking
POINT (-122.6557777 45.5167603),,,,,,,bicycle_parking
POINT (-122.6557784 45.5168092),,,,,,,bicycle_parking
POINT (-122.6568208 45.5168397),,,,,,,parking_entrance
POINT (-122.6567866 45.5169515),,,,,,,bicycle_parking
POINT (-122.6567665 45.5170963),,,,,,,bicycle_parking
POINT (-122.6569515 45.5171339),,,,,,,bicycle_parking
POINT (-122.6554837 45.5173025),,,,,,,bicycle_parking
POINT (-122.6553925 45.5173035),,,,,,,bicycle_parking
POINT (-122.6560154 45.5173065),,,,,,,bicycle_parking
POINT (-122.6560855 45.5173068),,,,,,,bicycle_parking
POINT (-122.6573938 45.5173091),,,,,,,bicycle_parking
POINT (-122.6580254 45.5173157),,,,,,,bicycle_parking
POINT (-122.6556094 45.5173542),,,,,,,bicycle_parking
POINT (-122.6556101 45.517396),,,,,,,bicycle_parking
POINT (-122.6588251 45.5160748),,,,,,,bicycle_parking
POINT (-122.6588248 45.5161293),,,,,,,bicycle_parking
POINT (-122.6588241 45.5163163),,,,,,,bicycle_parking
POINT (-122.6588238 45.5163774),,,,,,,bicycle_parking
POINT (-122.6598409 45.5163784),,,,,,,bicycle_parking
POINT (-122.6609447 45.5166412),Inversion +/-,,,,,,artwork
POINT (-122.6605652 45.5170744),Portland Running Company,,,,,Southeast Grand Avenue,sports
POINT (-122.6600676 45.5164547),,,,,,,bicycle_parking
POINT (-122.6602031 45.5164547),,,,,,,bicycle_parking
POINT (-122.6606456 45.5166454),,,,,,,bicycle_parking
POINT (-122.660647 45.5166943),,,,,,,bicycle_parking
POINT (-122.6608683 45.5175283),,,,,,,bicycle_parking
POINT (-122.6608722 45.5176139),,,,,,,bicycle_parking
POINT (-122.660877 45.5177181),,,,,,,bicycle_parking
POINT (-122.6616917 45.5177877),,,,,,,bicycle_parking
POINT (-122.6606399 45.5180797),,,,,,,bicycle_parking
POINT (-122.6614335 45.5177087),Tickle River of Time,,,,,,artwork
POINT (-122.6608424 45.5199823),,,,,,,bicycle_parking
POINT (-122.6616725 45.5201885),,,,,,,bicycle_parking
POINT (-122.662658 45.5208588),United States Postal Service,,,,,,post_box
POINT (-122.6615864 45.5211416),,,,,,,bicycle_parking
POINT (-122.6615146 45.521143),,,,,,,bicycle_parking
POINT (-122.6614201 45.5211435),,,,,,,bicycle_parking
POINT (-122.6608498 45.5212656),,,,,,,bicycle_parking
POINT (-122.6602295 45.5212854),,,,,,,artwork
POINT (-122.6608551 45.5214047),,,,,,,bicycle_parking
POINT (-122.6609815 45.5214592),,,,,,,bicycle_parking
POINT (-122.6644929 45.5180163),,,,,,,bicycle_parking
POINT (-122.6635561 45.5200234),,,,,,,bicycle_parking
POINT (-122.6756485 45.5204613),,,,,,,information
POINT (-122.6757089 45.520512),,,,,,,bicycle_parking
POINT (-122.6758027 45.5205393),,,,,,,bicycle_parking
POINT (-122.6757074 45.5206464),,,,,,,bicycle_parking
POINT (-122.675985 45.5207225),,,,,,,bicycle_parking
POINT (-122.67604 45.5207347),,,,,,,waste_basket
POINT (-122.6754956 45.5207404),,,,,,,bicycle_parking
POINT (-122.6763641 45.52087),,,,,,,waste_basket
POINT (-122.6754018 45.5209048),,,,,,,bicycle_parking
POINT (-122.676297 45.5209729),,,,,,,bench
POINT (-122.6762808 45.5210462),,,,,,,waste_basket
POINT (-122.675324 45.5210551),,,,,,,bicycle_parking
POINT (-122.6752757 45.5211303),,,,,,,bicycle_parking
POINT (-122.676205 45.5211491),,,,,,,bench
POINT (-122.6754246 45.521213),,,,,,,bicycle_parking
POINT (-122.675501 45.5212384),,,,,,,bicycle_parking
POINT (-122.676162 45.5212426),,,,,,,bench
POINT (-122.67612 45.5213102),,,,,,,bench
POINT (-122.6762889 45.5213554),,,,,,,drinking_water
POINT (-122.6761033 45.5213639),,,,,,,waste_basket
POINT (-122.6762844 45.5214052),,,,,,,waste_basket
POINT (-122.6759928 45.5226107),Portland City Grill,american,"Mo-Fr 11:00-24:00; Sa 00:00-01:00,16:00-24:00; Su 00:00-01:00,12:00-23:00",,,Southwest 5th Avenue,restaurant
POINT (-122.6785631 45.520117),Pile,,,,,,artwork
POINT (-122.6758862 45.5217505),Untitled,,,,,,artwork
POINT (-122.6755888 45.5223185),Untitled,,,,,,artwork
POINT (-122.6755184 45.5213563),,,,,,,bicycle_parking
POINT (-122.6758215 45.5214394),,,,,,,bicycle_parking
POINT (-122.675963 45.5214808),United States Postal Service,,,,,,post_box
POINT (-122.6761249 45.5216631),,,,,,,bench
POINT (-122.6759439 45.521665),,,,,,,bench
POINT (-122.674752 45.521688),,,,,,,bicycle_parking
POINT (-122.6747295 45.5217277),,,,,,,bicycle_parking
POINT (-122.6749411 45.5217603),,,,,,,bicycle_parking
POINT (-122.6760485 45.521789),,,,,,,telephone
POINT (-122.674577 45.5218679),,,,,,,information
POINT (-122.6759888 45.5219229),,,,,,,bicycle_parking
POINT (-122.6757683 45.5219703),,,,,,,waste_basket
POINT (-122.67576 45.5219876),,,,,,,drinking_water
POINT (-122.6759486 45.5219962),,,,,,,bench
POINT (-122.675637 45.5220234),United States Postal Service,,,,,,post_box
POINT (-122.6756505 45.5220469),,,,,,,bicycle_parking
POINT (-122.6759056 45.5220517),,,,,,,waste_basket
POINT (-122.6758415 45.5221995),,,,,,,waste_basket
POINT (-122.6756272 45.5222274),,,,,,,waste_basket
POINT (-122.675732 45.5225003),,,,,,,bicycle_parking
POINT (-122.6756765 45.5226272),,,,,,,waste_basket
POINT (-122.6756147 45.5227549),,,,,,,bicycle_parking
POINT (-122.6614198 45.5508458),,,,,,,bicycle_parking
POINT (-122.6613648 45.5508617),,,,,,,bicycle_parking
POINT (-122.6616767 45.5509129),,,,,,,waste_basket
POINT (-122.6616733 45.550974),,,,,,,bicycle_parking
POINT (-122.6617028 45.5512489),,,,,,,bicycle_parking
POINT (-122.6616941 45.5513231),,,,,,,bicycle_parking
POINT (-122.6616934 45.5514203),,,,,,,bicycle_parking
POINT (-122.6665641 45.5518286),Quesabrosa,mexican,,limited,yes,,fast_food
POINT (-122.6672843 45.5519725),Sluto,,,,,,artwork
POINT (-122.6667717 45.5479314),,,,,,,bicycle_parking
POINT (-122.666772 45.547998),,,,,,,bicycle_parking
POINT (-122.6667726 45.548072),,,,,,,bicycle_parking
POINT (-122.6663868 45.5483246),,,,,,,bicycle_parking
POINT (-122.666435 45.5483246),,,,,,,bicycle_parking
POINT (-122.6663653 45.5486726),,,,,,,bicycle_parking
POINT (-122.6666148 45.5491311),,,,,,,bicycle_parking
POINT (-122.6666148 45.549156),,,,,,,bicycle_parking
POINT (-122.6665812 45.5491715),,,,,,,bicycle_parking
POINT (-122.6665819 45.5491833),,,,,,,bicycle_parking
POINT (-122.6666148 45.5492748),,,,,,,bicycle_parking
POINT (-122.666549 45.5494847),,,,,,,bicycle_parking
POINT (-122.6664773 45.5494861),,,,,,,bicycle_parking
POINT (-122.6664498 45.5494866),,,,,,,bicycle_parking
POINT (-122.6665484 45.5496651),,,,,,,bicycle_parking
POINT (-122.6672434 45.5509848),,,,,,,bicycle_parking
POINT (-122.6668055 45.5516229),,,,,,,bicycle_parking
POINT (-122.6668075 45.5516507),,,,,,,bicycle_parking
POINT (-122.667069 45.5517305),,,,,,,bicycle_parking
POINT (-122.6671207 45.5517305),,,,,,,bicycle_parking
POINT (-122.6666285 45.5517385),,,,,,,bicycle_parking
POINT (-122.6666292 45.5517638),,,,,,,bicycle_parking
POINT (-122.6668116 45.5517835),,,,,,,bicycle_parking
POINT (-122.6665386 45.5519103),Myoptic,,"Mo-Fr 09:00-19:00,09:00-17:00",yes,,North Williams Avenue,optician
POINT (-122.667293 45.5518582),,,,,,,bicycle_parking
POINT (-122.6668075 45.5518605),,,,,,,bicycle_parking
POINT (-122.6670664 45.5521172),,,,,,,bicycle_parking
POINT (-122.6668122 45.55225),,,,,,,bicycle_parking
POINT (-122.6668116 45.552304),,,,,,,bicycle_parking
POINT (-122.6668163 45.5524684),,,,,,,bicycle_parking
POINT (-122.6666382 45.5531291),,,,,,,bicycle_parking
POINT (-122.666651 45.5531986),,,,,,,bicycle_parking
POINT (-122.6665953 45.5532699),,,,,,,bicycle_parking
POINT (-122.6665728 45.5537996),,,,,,,bicycle_parking
POINT (-122.6666694 45.5546881),,,,,,,bicycle_parking
POINT (-122.6666694 45.5547191),,,,,,,bicycle_parking
POINT (-122.6666674 45.5550252),,,,,,,bicycle_parking
POINT (-122.6666674 45.5550642),,,,,,,bicycle_parking
POINT (-122.6618244 45.5483254),,,,,,,bicycle_parking
POINT (-122.6617205 45.5483841),,,,,,,drinking_water
POINT (-122.6617239 45.5483972),,,,,,,waste_basket
POINT (-122.6617239 45.5485024),,,,,,,bicycle_parking
POINT (-122.6617225 45.5485588),,,,,,,bicycle_parking
POINT (-122.6617265 45.5486593),,,,,,,bicycle_parking
POINT (-122.6513894 45.5493846),Saturday Morning in Sabin,,,,,,artwork
POINT (-122.6618044 45.5482088),,,,,,,waste_basket
POINT (-122.6516971 45.5483003),,,,,,,bicycle_parking
POINT (-122.6520059 45.5483026),,,,,,,bicycle_parking
POINT (-122.6524558 45.5483026),,,,,,,bicycle_parking
POINT (-122.6522761 45.5483036),,,,,,,bicycle_parking
POINT (-122.6582929 45.5483315),,,,,,,bicycle_parking
POINT (-122.6513333 45.5483547),,,,,,,bicycle_parking
POINT (-122.6585743 45.5483864),,,,,,,bicycle_parking
POINT (-122.6504961 45.5484261),,,,,,,waste_basket
POINT (-122.6510503 45.5484688),,,,,,,bicycle_parking
POINT (-122.6510463 45.5485985),,,,,,,bicycle_parking
POINT (-122.651014 45.548671),United States Postal Service,,,,,,post_box
POINT (-122.6510325 45.5486715),,,,,,,waste_basket
POINT (-122.6510892 45.5490723),,,,,,,bicycle_parking
POINT (-122.6510912 45.5491469),,,,,,,bicycle_parking
POINT (-122.6511311 45.5491753),,,,,,,bicycle_parking
POINT (-122.6510869 45.5492141),,,,,,,bicycle_parking
POINT (-122.6512622 45.5493301),,,,,,,bicycle_parking
POINT (-122.6512401 45.5493665),,,,,,,waste_basket
POINT (-122.6501723 45.5555078),,,,,,,bicycle_parking
POINT (-122.6503708 45.5555106),,,,,,,bicycle_parking
POINT (-122.6581311 45.5592009),The Decemberists,,,,,,artwork
POINT (-122.6547561 45.5591714),,,,,,,waste_basket
POINT (-122.6547762 45.5591729),,,,,,,bicycle_parking
POINT (-122.6548111 45.559173),,,,,,,bicycle_parking
POINT (-122.654846 45.5591732),,,,,,,bicycle_parking
POINT (-122.6548808 45.5591733),,,,,,,bicycle_parking
POINT (-122.6568531 45.5591788),,,,,,,bicycle_parking
POINT (-122.6562724 45.5592006),,,,,,,artwork
POINT (-122.6565098 45.559222),,,,,,,bicycle_parking
POINT (-122.6600404 45.5658316),Safeway,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 10:00-18:00,,,Northeast Martin Luther King Junior Boulevard,pharmacy
POINT (-122.6603328 45.5658372),Starbucks,coffee_shop,06:00-19:00,,yes,Northeast Martin Luther King Junior Boulevard,cafe
POINT (-122.660832 45.5672449),Walgreens,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 10:00-18:00,,,Northeast Martin Luther King Junior Boulevard,pharmacy
POINT (-122.6613082 45.5610787),,,,,,,bicycle_parking
POINT (-122.6612928 45.5612083),,,,,,,waste_basket
POINT (-122.6612817 45.5612674),,,,,,,bicycle_parking
POINT (-122.6611758 45.5617064),,,,,,,bicycle_parking
POINT (-122.66092 45.5630901),U-Haul,,,,,Northeast Martin Luther King Junior Boulevard,rental
POINT (-122.6615831 45.5615133),,,,,,,bicycle_parking
POINT (-122.6602876 45.5626478),,,,,,,bicycle_parking
POINT (-122.6602233 45.5626677),,,,,,,parking_entrance
POINT (-122.6618633 45.5577803),Cynthia Fowler,,,,,Northeast Martin Luther King Junior Boulevard,doctors
POINT (-122.6619348 45.5578052),Dan Cohen Creative Labs,,,,,Northeast Wygant Street,art
POINT (-122.6620309 45.5578064),Laura Domela,,,,,Northeast Wygant Street,photo
POINT (-122.6619324 45.5579094),Laura Domela,,,,,Northeast Wygant Street,photo
POINT (-122.6618131 45.5577803),M. Joy Young,,,,,Northeast Martin Luther King Junior Boulevard,doctors
POINT (-122.6618642 45.5578758),Midori Lashes & Skin Care,,,,,Northeast Martin Luther King Junior Boulevard,beauty
POINT (-122.6619828 45.5578058),Satori Healing Arts,,,,,Northeast Wygant Street,doctors
POINT (-122.6620779 45.5579098),The Granite,,,,,Northeast Wygant Street,arts_centre
POINT (-122.6623344 45.5577176),,,,,,,bicycle_parking
POINT (-122.66175 45.5577178),,,,,,,bicycle_parking
POINT (-122.6618379 45.5577178),,,,,,,bicycle_parking
POINT (-122.662386 45.5577178),,,,,,,bicycle_parking
POINT (-122.6624122 45.5577179),,,,,,,bicycle_parking
POINT (-122.6621708 45.5577181),,,,,,,bicycle_parking
POINT (-122.6624471 45.5577181),,,,,,,bicycle_parking
POINT (-122.6625155 45.5577683),,,,,,,bicycle_parking
POINT (-122.6625188 45.557851),,,,,,,bicycle_parking
POINT (-122.6616615 45.5578916),,,,,,,bicycle_parking
POINT (-122.6625208 45.5579012),,,,,,,bicycle_parking
POINT (-122.6621413 45.5587965),,,,,,,bicycle_parking
POINT (-122.6621976 45.5587965),,,,,,,bicycle_parking
POINT (-122.6616387 45.5589902),,,,,,,drinking_water
POINT (-122.660705 45.5590693),,,,,,,bicycle_parking
POINT (-122.6607392 45.5590696),,,,,,,bicycle_parking
POINT (-122.6607593 45.5590698),,,,,,,bicycle_parking
POINT (-122.6617041 45.5590703),,,,,,,bicycle_parking
POINT (-122.6617477 45.5590703),,,,,,,bicycle_parking
POINT (-122.6609051 45.559071),,,,,,,bicycle_parking
POINT (-122.6620863 45.5605597),,,,,,,bicycle_parking
POINT (-122.6616685 45.5610741),,,,,,,bicycle_parking
POINT (-122.6618382 45.5613333),,,,,,,clock
POINT (-122.6616892 45.5614018),Soulful Sips,,,,,Northeast Martin Luther King Junior Boulevard,cafe
POINT (-122.662147 45.5617424),,,,,,,bicycle_parking
POINT (-122.6615683 45.5625724),,,,,,,drinking_water
POINT (-122.6586413 45.5590578),,,,,,,bicycle_parking
POINT (-122.6546851 45.5589395),,,,,,,bicycle_parking
POINT (-122.6549164 45.5590479),,,,,,,bicycle_parking
POINT (-122.6515211 45.5588749),,,,,,,bicycle_parking
POINT (-122.6514916 45.5590177),,,,,,,bicycle_parking
POINT (-122.6509551 45.5590348),,,,,,,bicycle_parking
POINT (-122.6508485 45.5590362),,,,,,,bicycle_parking
POINT (-122.6511999 45.5590369),,,,,,,bicycle_parking
POINT (-122.6513065 45.5590369),,,,,,,bicycle_parking
POINT (-122.6506081 45.5590381),,,,,,,bicycle_parking
POINT (-122.6502075 45.5590397),,,,,,,bicycle_parking
POINT (-122.6503221 45.5590397),,,,,,,bicycle_parking
POINT (-122.6492878 45.5587954),,,,,,,bicycle_parking
POINT (-122.6496727 45.558894),,,,,,,bicycle_parking
POINT (-122.6492515 45.5589156),,,,,,,artwork
POINT (-122.6488265 45.5589376),,,,,,,bicycle_parking
POINT (-122.6497994 45.5589653),,,,,,,bicycle_parking
POINT (-122.6495406 45.5590386),,,,,,,waste_basket
POINT (-122.6492683 45.55904),,,,,,,bicycle_parking
POINT (-122.6498477 45.5590414),,,,,,,waste_basket
POINT (-122.6486964 45.5587949),,,,,,,bicycle_parking
POINT (-122.6479158 45.5590268),,,,,,,waste_basket
POINT (-122.6473747 45.5590306),,,,,,,bicycle_parking
POINT (-122.6469657 45.5590329),,,,,,,waste_basket
POINT (-122.6470341 45.5590329),,,,,,,artwork
POINT (-122.6473224 45.5590329),,,,,,,bicycle_parking
POINT (-122.6485488 45.5590372),,,,,,,bicycle_parking
POINT (-122.6466633 45.5591414),,,,,,,waste_basket
POINT (-122.6476302 45.5591451),,,,,,,bicycle_parking
POINT (-122.644951 45.5588745),,,,,,,artwork
POINT (-122.6460108 45.5590221),,,,,,,bicycle_parking
POINT (-122.6460551 45.5590226),,,,,,,bicycle_parking
POINT (-122.6460994 45.559023),,,,,,,bicycle_parking
POINT (-122.6464092 45.5590261),,,,,,,bicycle_parking
POINT (-122.6451763 45.5590271),,,,,,,bicycle_parking
POINT (-122.6465057 45.5590271),,,,,,,bicycle_parking
POINT (-122.6450616 45.5590274),,,,,,,bicycle_parking
POINT (-122.6465339 45.5590274),,,,,,,bicycle_parking
POINT (-122.6449979 45.5590275),,,,,,,bicycle_parking
POINT (-122.6450234 45.5590275),,,,,,,bicycle_parking
POINT (-122.646621 45.5590282),,,,,,,bicycle_parking
POINT (-122.6433651 45.5589536),,,,,,,recycling
POINT (-122.6442312 45.5590189),,,,,,,bicycle_parking
POINT (-122.6446643 45.5590189),,,,,,,bicycle_parking
POINT (-122.6442781 45.5590193),,,,,,,bicycle_parking
POINT (-122.6446174 45.5590198),,,,,,,bicycle_parking
POINT (-122.6440199 45.5590221),,,,,,,waste_basket
POINT (-122.6430349 45.5590329),,,,,,,bicycle_parking
POINT (-122.6428418 45.558778),,,,,,,bicycle_parking
POINT (-122.6428431 45.5587958),,,,,,,bicycle_parking
POINT (-122.6379732 45.5588078),,,,,,,bicycle_parking
POINT (-122.6419989 45.5588958),,,,,,,bicycle_parking
POINT (-122.6369614 45.5589501),,,,,,,bicycle_parking
POINT (-122.6369918 45.5589523),,,,,,,artwork
POINT (-122.6372101 45.5589956),,,,,,,bicycle_parking
POINT (-122.6386445 45.5589984),,,,,,,bicycle_parking
POINT (-122.6384768 45.5590003),,,,,,,bicycle_parking
POINT (-122.6383769 45.5590031),,,,,,,bicycle_parking
