query,check_time,relevant_poi_ids,num_relevant,num_candidates
open atm nearby right now,2026-07-14T15:00:00,"3757,10494,10543",3,95
diner open all night,2026-07-14T22:00:00,"48,136,168,348,373,435,631,772,889,917,924,1013,1085,1239,2122,2182,2242,2299,2924,3501,3751,3922,4297,4935,5498,5499,5621,6065,6066,6099,6177,6698,7085,7217,7551,7605,7606,7629,7662,7704,7733,7850,7959,7985,8080,8236,8252,8287,8415,8424,8471,8512,8532,8533,8636,8640,8817,8840,8852,8881,8914,8950,8975,9187,9392,9455,9562,9829,10333,10537,10540,10845,10910,10912,11269,11308,12638,12639,13475,13871,14053,14068,14095,14118,14125,14130,14155,14160,14207,14242,14288,14293,14607,14805,14842,14887,14899,14905,14936,15143,15144,15146,15737,15743,15890,15891,15959,16028,16029,16182,16222,16226,16351,16447,16507,16625,16685,16834,16933,16993,17001,17003,17016,17019,17027,17043,17119,17254,17307,17385,17443,17488,17602,17615,17630,17712,17715,17718,17729,17737,17814,17867,17869,18075,18387,18395,18402,18415,18708,18960,19353,19354,19395,19406,19419,19489,19566,19603,19614,19718,19745,19805,20262,20407",164,1800
who is open this late,2026-07-14T22:00:00,"48,228,348,631,772,889,917,1013,1085,1239,2122,2299,2333,3501,3751,4297,4935,5621,6065,6066,6099,6698,7217,7551,7704,7733,7850,7959,7995,8080,8236,8252,8287,8415,8424,8471,8532,8533,8817,8840,8852,8881,8984,9187,9392,9455,9570,10333,10537,10540,10845,10910,11269,11308,11913,12638,12639,14053,14151,14155,14207,14242,14293,14842,14887,15143,15737,15743,15959,16028,16029,16351,16447,16507,17019,17119,17254,17307,17639,17640,17729,17814,18387,18415,18708,18960,19353,19566,19603,19718,19745",91,1728
is the pharmacy open right now,2026-07-14T15:00:00,"2350,3788,3924,4017,4179,4183,4407,4409,4680,4700,4898,4936,4937,5124,5432,5644,5720,5721,6056,6114,6382,6427,6441,6464,7723,8093,9258,10440,11423,12937,15519,23833",32,47
coffee shop open late tonight,2026-07-14T22:00:00,"228,2333,7995,8984,9570,11913,14151,17639,17640",9,483
is there a cafe still open,2026-07-14T15:00:00,"21,29,33,144,152,228,294,367,368,372,610,639,680,771,946,995,1103,1860,2029,2321,2333,2434,2547,3030,3031,3034,3087,3211,3364,3567,3679,3753,4135,4180,4184,4408,4681,4899,4975,5051,5547,5575,5735,6054,6194,6387,6428,6969,7015,7146,7212,7225,7321,7626,7639,7653,7772,7960,7974,7995,8036,8074,8083,8206,8220,8262,8371,8418,8514,8673,8822,8937,8944,8952,8969,8973,8984,9056,9311,9445,9549,9570,9719,9894,10009,10026,10493,10629,10740,10757,10815,10824,10826,10867,10878,11169,11179,11203,11241,11280,11468,11876,11913,11955,12549,12898,12955,13028,13380,13395,13420,13424,13606,13626,13970,14115,14123,14124,14150,14151,14223,14224,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,16059,16063,16099,16129,16258,16466,16545,16582,16645,16677,16760,16893,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18786,18903,18918,18934,18940,18970,19004,19005,19024,19025,19229,19242,19272,19339,19483,19494,19515,19589,19680,19737,19845,19862,19887,19933,20239,20544,20650,20828,21052,24347,24348",188,483
grocery store open now,2026-07-14T15:00:00,"106,549,915,935,1088,1824,2362,2439,3982,4635,5567,6168,6258,7196,7650,8182,8511,8837,9733,9900,10261,10752,13356,13422,13483,13852,13894,13941,13969,14023,14090,14093,14116,14197,14237,14285,14370,14389,14448,14484,14495,14497,14718,14806,14938,14997,15029,15030,15118,15125,15126,15129,15130,15131,15132,15133,15134,15145,15147,15252,15290,15321,15322,15378,15422,15602,15673,15727,15935,15948,15964,15993,16000,16072,16146,16179,16221,16443,16531,16601,16653,16704,16846,16977,17028,17086,17195,17507,17853,17917,17936,18218,18252,18284,18296,18528,19124,19135,19488,19604,19746,20714,23829",103,393
is the library open on sunday,2026-07-19T15:00:00,"91,92,13413,13742,13783,13785,13786,13787,13789,13810,14685,16866,17356,20282",14,30
late night food near me open now,2026-07-14T22:00:00,"48,136,168,348,373,435,631,772,889,917,924,1013,1085,1239,2122,2182,2242,2299,2924,3501,3751,3922,4297,4935,5498,5499,5621,6065,6066,6099,6177,6698,7085,7217,7551,7605,7606,7629,7662,7704,7733,7850,7959,7985,8080,8236,8252,8287,8415,8424,8471,8512,8532,8533,8636,8640,8817,8840,8852,8881,8914,8950,8975,9187,9392,9455,9562,9829,10333,10537,10540,10845,10910,10912,11269,11308,12638,12639,13475,13871,14053,14068,14095,14118,14125,14130,14155,14160,14207,14242,14288,14293,14607,14805,14842,14887,14899,14905,14936,15143,15144,15146,15737,15743,15890,15891,15959,16028,16029,16182,16222,16226,16351,16447,16507,16625,16685,16834,16933,16993,17001,17003,17016,17019,17027,17043,17119,17254,17307,17385,17443,17488,17602,17615,17630,17712,17715,17718,17729,17737,17814,17867,17869,18075,18387,18395,18402,18415,18708,18960,19353,19354,19395,19406,19419,19489,19566,19603,19614,19718,19745,19805,20262,20407",164,1800
which cafes are open early morning,2026-07-14T07:00:00,"21,33,112,152,161,228,294,330,368,610,639,662,675,680,681,771,992,995,1032,1103,1860,1905,2029,2321,2333,2374,2397,2547,3031,3034,3211,3565,3567,3665,3679,4135,4184,4408,4681,4899,4975,5051,5182,5547,5735,6054,6069,6194,6428,6609,6969,7015,7146,7212,7321,7380,7620,7626,7652,7653,7656,7703,7800,7974,7995,8036,8074,8083,8206,8220,8418,8673,8822,8944,8952,8969,8973,9032,9056,9311,9549,9570,9719,9894,10020,10493,10629,10740,10815,10824,10847,10878,11203,11239,11280,11468,11876,11955,12504,12716,12898,12913,12955,13380,13393,13420,13424,13647,13970,14115,14124,14150,14151,14223,14224,14437,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,15986,16059,16063,16099,16118,16129,16258,16466,16545,16677,16747,16760,16801,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18934,18940,19004,19005,19024,19229,19242,19243,19272,19339,19483,19494,19515,19548,19680,19737,19845,19887,19933,20239,20544,20650,21052,24347,24348",177,483
restaurant open after midnight,2026-07-15T00:30:00,"348,889,1085,2299,5621,6099,6698,7678,7850,8252,8287,8415,8424,9187,9455,14053,14155,14207,15737,16028,16029,16351,17019,17254,17307,17729,17814,19353,19745",29,1254
is the dentist office open today,2026-07-14T15:00:00,"1156,1157,1162,1166,1225,2178,6110,7464,7494,7973,8964,8982,8990,10415,10623,11296,12622,12644,15985,15987,16637,16696,17231,17409,17465,17549,17627,18299,19246,19279,19342,19349,19400,19591,20041",35,145
bank hours saturday,2026-07-18T15:00:00,16700,1,128
any food places open right now,2026-07-14T15:00:00,"18,31,38,42,48,109,120,136,138,140,145,162,167,168,191,251,348,351,373,398,435,493,502,624,631,677,678,879,889,903,917,918,920,924,944,959,984,985,1000,1001,1003,1031,1085,1205,1231,1239,1717,1864,2017,2067,2201,2203,2242,2247,2266,2299,2319,2335,2924,3468,3502,3608,3668,3678,3697,3751,3921,3922,4056,4297,4704,4935,5012,5431,5498,5499,5618,5621,5719,5759,5909,5983,6064,6066,6099,6149,6155,6164,6174,6177,6224,6639,6647,6656,6698,6866,6939,6991,6992,7032,7036,7038,7085,7140,7188,7205,7213,7224,7231,7290,7296,7297,7526,7551,7563,7564,7605,7606,7611,7624,7629,7633,7662,7677,7678,7681,7704,7729,7733,7757,7775,7777,7802,7805,7822,7828,7952,7955,7963,7985,7996,8080,8101,8127,8171,8213,8236,8239,8252,8259,8260,8279,8415,8420,8455,8471,8512,8532,8533,8539,8636,8640,8674,8744,8756,8767,8817,8826,8836,8840,8852,8859,8874,8882,8884,8914,8915,8950,8975,8996,9000,9033,9042,9043,9051,9053,9055,9177,9220,9221,9307,9308,9332,9343,9397,9447,9455,9456,9562,9715,9732,9829,10327,10342,10348,10452,10473,10537,10753,10755,10756,10792,10795,10796,10800,10817,10845,10870,10910,10912,11092,11133,11147,11154,11176,11269,11308,11309,11325,11494,11496,11497,11513,11537,11560,11563,11577,11609,11676,11677,11678,11690,11810,11862,11939,12403,12526,12555,12556,12627,12635,12636,12638,12639,12705,12719,12899,12900,13000,13250,13310,13378,13456,13475,13487,13558,13589,13621,13633,13634,13642,13646,13652,13771,13869,13871,13876,13879,13887,13906,13961,14003,14053,14068,14095,14125,14130,14155,14160,14207,14242,14276,14288,14302,14356,14360,14465,14478,14607,14733,14787,14805,14816,14840,14842,14887,14899,14905,14906,14915,14934,14936,14940,14944,15111,15143,15144,15146,15205,15328,15374,15610,15620,15737,15741,15754,15766,15845,15846,15856,15890,15891,15892,15913,15951,15963,15973,15975,15984,15992,16006,16019,16020,16028,16029,16031,16036,16043,16062,16098,16123,16135,16182,16218,16222,16224,16226,16229,16241,16244,16264,16265,16285,16307,16330,16351,16366,16446,16447,16463,16464,16517,16589,16598,16602,16625,16646,16685,16697,16711,16740,16754,16786,16825,16834,16845,16847,16933,16954,16993,17001,17003,17011,17016,17019,17027,17039,17042,17043,17056,17059,17069,17119,17143,17177,17194,17254,17265,17273,17299,17307,17335,17351,17354,17376,17385,17420,17423,17427,17443,17447,17466,17470,17488,17491,17524,17525,17602,17614,17615,17630,17643,17660,17702,17711,17712,17715,17716,17718,17729,17737,17814,17818,17831,17840,17849,17857,17867,17869,17871,17897,17989,18060,18074,18075,18169,18242,18280,18314,18387,18395,18402,18415,18441,18493,18495,18527,18601,18627,18650,18670,18708,18730,18732,18734,18741,18753,18796,18829,18830,18836,18839,18844,18852,18914,18952,18960,19006,19035,19043,19126,19137,19245,19266,19315,19332,19336,19337,19338,19353,19354,19395,19397,19406,19407,19411,19419,19426,19437,19440,19485,19489,19566,19583,19601,19603,19605,19614,19615,19624,19642,19682,19718,19719,19745,19805,19917,19927,19960,19963,20024,20026,20042,20090,20101,20102,20106,20108,20262,20407,20450,20576,20603,20851,20936,23979,24049,24731",548,1800
is the bank still open,2026-07-14T15:00:00,"26,27,49,397,412,519,994,2939,3610,3652,3755,4035,4036,5717,7043,7121,7970,7979,7999,8033,8377,8534,8647,8650,8663,8926,8977,9287,10007,10325,10330,10401,10558,10689,10863,11811,12498,14006,14048,14060,14062,14100,14290,14368,14470,14851,14886,14895,14971,15473,15679,16003,16054,16101,16162,16184,16414,16587,16597,16700,16778,16849,17035,17105,17226,17334,17397,17433,17464,17489,17496,17540,17626,17713,17728,17988,18106,18167,18355,18509,19002,19309,21349,24107",84,128
which stores are open this late,2026-07-14T22:00:00,"549,915,2439,4635,5567,6168,8837,9900,13852,13894,14370,14389,14448,14497,14806,15029,15125,15126,15129,15130,15131,15132,15133,15134,15145,15147,15673,15935,15948,15993,16146,16221,16443,16653,16846,16977,17028,17086,17195,17507,17936,18218,18252,18528,19488,19746",46,393
open late cafes downtown,2026-07-14T22:00:00,"228,2333,7995,8984,9570,11913,14151,17639,17640",9,483
disabled friendly pharmacy open now,2026-07-14T15:00:00,"2350,3788,3924,4017,4179,4183,4407,4409,4680,4700,4898,4936,4937,5124,5432,5644,5720,5721,6056,6114,6382,6427,6441,6464,7723,8093,9258,10440,11423,12937,15519,23833",32,47
local coffee place open now,2026-07-14T15:00:00,"21,29,33,144,152,228,294,367,368,372,610,639,680,771,946,995,1103,1860,2029,2321,2333,2434,2547,3030,3031,3034,3087,3211,3364,3567,3679,3753,4135,4180,4184,4408,4681,4899,4975,5051,5547,5575,5735,6054,6194,6387,6428,6969,7015,7146,7212,7225,7321,7626,7639,7653,7772,7960,7974,7995,8036,8074,8083,8206,8220,8262,8371,8418,8514,8673,8822,8937,8944,8952,8969,8973,8984,9056,9311,9445,9549,9570,9719,9894,10009,10026,10493,10629,10740,10757,10815,10824,10826,10867,10878,11169,11179,11203,11241,11280,11468,11876,11913,11955,12549,12898,12955,13028,13380,13395,13420,13424,13606,13626,13970,14115,14123,14124,14150,14151,14223,14224,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,16059,16063,16099,16129,16258,16466,16545,16582,16645,16677,16760,16893,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18786,18903,18918,18934,18940,18970,19004,19005,19024,19025,19229,19242,19272,19339,19483,19494,19515,19589,19680,19737,19845,19862,19887,19933,20239,20544,20650,20828,21052,24347,24348",188,483
cafe open early morning,2026-07-14T07:00:00,"21,33,112,152,161,228,294,330,368,610,639,662,675,680,681,771,992,995,1032,1103,1860,1905,2029,2321,2333,2374,2397,2547,3031,3034,3211,3565,3567,3665,3679,4135,4184,4408,4681,4899,4975,5051,5182,5547,5735,6054,6069,6194,6428,6609,6969,7015,7146,7212,7321,7380,7620,7626,7652,7653,7656,7703,7800,7974,7995,8036,8074,8083,8206,8220,8418,8673,8822,8944,8952,8969,8973,9032,9056,9311,9549,9570,9719,9894,10020,10493,10629,10740,10815,10824,10847,10878,11203,11239,11280,11468,11876,11955,12504,12716,12898,12913,12955,13380,13393,13420,13424,13647,13970,14115,14124,14150,14151,14223,14224,14437,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,15986,16059,16063,16099,16118,16129,16258,16466,16545,16677,16747,16760,16801,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18934,18940,19004,19005,19024,19229,19242,19243,19272,19339,19483,19494,19515,19548,19680,19737,19845,19887,19933,20239,20544,20650,21052,24347,24348",177,483
cafee open now,2026-07-14T15:00:00,"21,29,33,144,152,228,294,367,368,372,610,639,680,771,946,995,1103,1860,2029,2321,2333,2434,2547,3030,3031,3034,3087,3211,3364,3567,3679,3753,4135,4180,4184,4408,4681,4899,4975,5051,5547,5575,5735,6054,6194,6387,6428,6969,7015,7146,7212,7225,7321,7626,7639,7653,7772,7960,7974,7995,8036,8074,8083,8206,8220,8262,8371,8418,8514,8673,8822,8937,8944,8952,8969,8973,8984,9056,9311,9445,9549,9570,9719,9894,10009,10026,10493,10629,10740,10757,10815,10824,10826,10867,10878,11169,11179,11203,11241,11280,11468,11876,11913,11955,12549,12898,12955,13028,13380,13395,13420,13424,13606,13626,13970,14115,14123,14124,14150,14151,14223,14224,14827,14884,15110,15305,15362,15535,15613,15617,15802,15974,16059,16063,16099,16129,16258,16466,16545,16582,16645,16677,16760,16893,16969,16991,17552,17639,17640,17719,17777,17856,17887,18138,18187,18249,18519,18786,18903,18918,18934,18940,18970,19004,19005,19024,19025,19229,19242,19272,19339,19483,19494,19515,19589,19680,19737,19845,19862,19887,19933,20239,20544,20650,20828,21052,24347,24348",188,483
restaurant for dinner tonight,2026-07-14T22:00:00,"48,348,631,772,889,917,1013,1085,1239,2122,2299,3501,3751,4297,4935,5621,6065,6066,6099,6698,7217,7551,7704,7733,7850,7959,8080,8236,8252,8287,8415,8424,8471,8532,8533,8817,8840,8852,8881,9187,9392,9455,10333,10537,10540,10845,10910,11269,11308,12638,12639,14053,14155,14207,14242,14293,14842,14887,15143,15737,15743,15959,16028,16029,16351,16447,16507,17019,17119,17254,17307,17729,17814,18387,18415,18708,18960,19353,19566,19603,19718,19745",82,1254
fuel station open now,2026-07-14T15:00:00,"471,14017,14084,14310,16251,16908,17395,17529,17576,18077,18130,18762,18949,19357,19387,19389",16,132
where can i charge my car tonight,2026-07-14T22:00:00,"10925,10926,10958,11101,11193,11582,12958,13320,13484,23987,24058,24156",12,50
convenience store open now,2026-07-14T15:00:00,"549,915,1824,2362,3982,4635,5567,6168,6258,7650,8511,8837,9733,10752,13356,13483,14237,14938,15145,15147,15321,15935,15948,15993,16000,16146,16221,16443,16531,16653,16704,16977,17028,17086,17507,17936,18218,18252,18528,19135,19746",41,307
shop open late tonight,2026-07-14T22:00:00,"549,915,2439,4635,5567,6168,8837,9900,13852,13894,14370,14389,14448,14497,14806,15029,15125,15126,15129,15130,15131,15132,15133,15134,15145,15147,15673,15935,15948,15993,16146,16221,16443,16653,16846,16977,17028,17086,17195,17507,17936,18218,18252,18528,19488,19746",46,393
doctor office open today,2026-07-14T15:00:00,"1113,1253,2018,2343,2383,2559,3666,3670,3696,4185,5196,5444,5988,6025,6444,7080,7311,7423,7961,9526,10433,10533,10649,10650,10651,10772,10909,11051,11642,12588,12928,13242,13904,14235,14790,14866,14869,15265,15266,15267,15315,15686,15697,15698,15950,15988,16012,16056,16097,16164,16432,16483,16615,17359,18567,18765,18792,19007,19138,19404,19408,19424,19510,19599,19731,19928,20100,20107,20116,20143,20378,24074",72,314
pharamcy open now,2026-07-14T15:00:00,"2350,3788,3924,4017,4179,4183,4407,4409,4680,4700,4898,4936,4937,5124,5432,5644,5720,5721,6056,6114,6382,6427,6441,6464,7723,8093,9258,10440,11423,12937,15519,23833",32,47
gas station open after midnight,2026-07-15T00:30:00,"471,14017,14084,14310,17395,17529,17576,18762,18949,19357",10,132
